,container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country
1048,Author,['basics'],Mf9VHRcAAAAJ,AUTHOR_PROFILE_PAGE,Kui Jia (贾奎),https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Mf9VHRcAAAAJ&citpid=1,"The Chinese University of Hong Kong, Shenzhen","['Computer Vision', 'Machine Learning', 'Image Processing']",@cuhk.edu.cn,http://kuijia.site/,12337,,,
1049,Author,['basics'],pp1zjXoAAAAJ,AUTHOR_PROFILE_PAGE,Yu Cheng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pp1zjXoAAAAJ&citpid=2,"Electrical and Computer Engineering, Illinois Institute of Technology","['Wireless Networks', 'Internet', 'Network security']",@iit.edu,http://www.ece.iit.edu/~yucheng,6338,17977974628565022639,Illinois Institute of Technology,USA
1050,Author,['basics'],6ZZtzmQAAAAJ,AUTHOR_PROFILE_PAGE,Nedjma Djouhra Ousidhoum (نجمة جوهرة أوسيدهم),https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6ZZtzmQAAAAJ&citpid=1,"Assistant Professor, Cardiff University and Visiting Academic, University of Cambridge","['Natural Language Processing', 'Computational Social Science', 'Machine Learning']",@cardiff.ac.uk,http://nedjmaou.github.io/,368,9175319048828668389,Cardiff University,UK
1051,Author,['basics'],eVlizvwAAAAJ,AUTHOR_PROFILE_PAGE,Athman Bouguettaya,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=eVlizvwAAAAJ&citpid=3,School of Computer Science University of Sydney,"['Service Computing', 'Services Computing', 'Web Services', 'Service-Oriented Computing']",@sydney.edu.au,,10917,17869855370174230969,University of Sydney,Australia
1052,Author,['basics'],QNaPwYEAAAAJ,AUTHOR_PROFILE_PAGE,Hoyoung Jeung,,DigitalOn (digitalon.com.au),[],@digitalon.com.au,https://digitalon.com.au/,2468,,,
1053,Author,['basics'],dX8YgiQAAAAJ,AUTHOR_PROFILE_PAGE,Yuanqing Zheng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dX8YgiQAAAAJ&citpid=4,The Hong Kong Polytechnic University,"['Wireless Networking and Mobile Computing', 'Acoustic and RF Sensing', 'Internet of Things (IoT)']",@comp.polyu.edu.hk,http://www4.comp.polyu.edu.hk/~csyqzheng/,3331,10969585421171712084,Hong Kong Polytechnic University,Hong Kong
1054,Author,['basics'],ZMLhZJ8AAAAJ,AUTHOR_PROFILE_PAGE,Long QUAN,,"Professor, Department of Computer Science and Engineering, HKUST",['Computer Vision'],@cse.ust.hk,https://www.cse.ust.hk/~quan,16287,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
1055,Author,['basics'],-NdSrrYAAAAJ,AUTHOR_PROFILE_PAGE,Panos Kalnis,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-NdSrrYAAAAJ&citpid=2,"Professor of Computer Science, King Abdullah University of Science and Technology (KAUST)","['Big Data', 'Cloud computing', 'Parallel Systems', 'Graphs', 'Privacy']",@kaust.edu.sa,http://www.panoskalnis.com/,13113,15282493088823841469,King Abdullah University of Science and Technology,Saudi Arabia
1056,Author,['basics'],Ugo3NGgAAAAJ,AUTHOR_PROFILE_PAGE,Parisa Kordjamshidi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ugo3NGgAAAAJ&citpid=5,"Assistant Professor, CSE, Michigan State University, Research Scientist  at IHMC","['Natural Language Processing', 'Machine Learning', 'Learning based programming', 'Vision & Language']",@msu.edu,http://www.cse.msu.edu/~kordjams/,1322,4033951344962453986,Michigan State University,USA
1057,Author,['basics'],kkG0M7YAAAAJ,AUTHOR_PROFILE_PAGE,Victor Cheung,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kkG0M7YAAAAJ&citpid=2,"Post-doctoral Fellow, Carleton University","['Human-Computer Interaction', 'Large Interactive Displays', 'Interface & Interaction Design', 'Deformables']",@uwaterloo.ca,http://victorcheung.net/,368,,,
1058,Author,['basics'],AyWKyZ4AAAAJ,AUTHOR_PROFILE_PAGE,WANG Rui,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AyWKyZ4AAAAJ&citpid=2,"Associate Professor, The Southern University of Science & Technology","['Wireless Communications', 'Resource Allocation via MDP and RL', 'VLC', 'mmWave', 'Massive MIMO']",@sustech.edu.cn,http://lasso.eee.sustech.edu.cn/,2026,,,
1059,Author,['basics'],fqOwFhQAAAAJ,AUTHOR_PROFILE_PAGE,Jun XIAO,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fqOwFhQAAAAJ&citpid=5,"Institute of Artificial Intelligence, Zhejiang University ","['Computer Animation', 'Digital Entertainment', 'Multimedia Analysis']",@zju.edu.cn,,8002,1118375729466322660,Zhejiang University,China
1060,Author,['basics'],dc3FV3sAAAAJ,AUTHOR_PROFILE_PAGE,Robert Sedgewick,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dc3FV3sAAAAJ&citpid=3,Princeton University,"['Algorithm science', 'Analytic combinatorics', 'Analysis of algorithms', 'Algorithm engineering', 'Data structures']",@cs.princeton.edu,http://www.cs.princeton.edu/~rs/,21269,4836318610601440500,Princeton University,USA
1061,Author,['basics'],UM4qFCsAAAAJ,AUTHOR_PROFILE_PAGE,Yisheng He,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UM4qFCsAAAAJ&citpid=1,Hong Kong University of Science and Technology,"['Computer Vision', 'Deep Learning', 'Robotics']",@connect.ust.hk,http://hyshkust.github.io/,589,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
1062,Author,['basics'],XQOSmToAAAAJ,AUTHOR_PROFILE_PAGE,Stavros Papadopoulos,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XQOSmToAAAAJ&citpid=1,"TileDB, Inc.","['Big Data', 'Security', 'Privacy']",@tiledb.com,http://people.csail.mit.edu/stavrosp/,2689,,,
1063,Author,['basics'],9_QZc-oAAAAJ,AUTHOR_PROFILE_PAGE,Shouyi Yin,,Tsinghua University,[],@tsinghua.edu.cn,,5571,15442380624744264287,Tsinghua University,China
1064,Author,['basics'],btRJjVEAAAAJ,AUTHOR_PROFILE_PAGE,Jiayang Cheng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=btRJjVEAAAAJ&citpid=5,The Hong Kong University of Science and Technology,"['Natural Language Processing', 'Knowledge Grounding']",@cse.ust.hk,https://jiayangcheng.com/,83,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
1065,Author,['basics'],vAIECxgAAAAJ,AUTHOR_PROFILE_PAGE,Yefeng Zheng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vAIECxgAAAAJ&citpid=3,"Tencent, Shenzhen, China, IEEE Fellow, AIMBE Fellow","['Medical Image Analysis', 'Computer Vision', 'Natural Language Processing', 'Deep Learning']",@tencent.com,https://sites.google.com/site/yefengzheng/,17350,,,
1066,Author,['basics'],R1Jt75cAAAAJ,AUTHOR_PROFILE_PAGE,Francesco Bonchi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=R1Jt75cAAAAJ&citpid=6,Research Director at Centai,"['AI', 'Data Science', 'Algorithms', 'Network Science', 'Data Mining']",@centai.eu,http://www.francescobonchi.com/,15562,,,
1067,Author,['basics'],7wsIB90AAAAJ,AUTHOR_PROFILE_PAGE,Ming Zhang,,Alibaba Group,['Networking'],@alibaba-inc.com,,15607,,,
